RTYUI,2024-11-15 16:46:33.002808,2024-11-15 16:46:44.273480,0:00:11.270672,20
TYUIO,2024-11-15 16:47:31.846226,2024-11-15 16:47:38.333832,0:00:06.487606,0
Ryu,2024-11-15 16:51:25.741268,2024-11-15 16:51:37.449766,0:00:11.708498,0
TIM,2024-11-15 17:41:13.818548,2024-11-15 17:41:36.690606,0:00:22.872058,58
TIM,2024-11-15 17:41:45.585654,2024-11-15 17:42:12.909700,0:00:27.324046,69
d,2024-11-15 18:27:40.656377,2024-11-15 18:28:02.054781,0:00:21.398404,52
d,2024-11-15 18:28:28.281204,2024-11-15 18:28:46.529636,0:00:18.248432,50
d,2024-11-15 18:28:51.712987,2024-11-15 18:29:17.537989,0:00:25.825002,74
Ryu,2024-11-15 18:29:38.424626,2024-11-15 18:30:22.745094,0:00:44.320468,144
y,2024-11-15 18:56:50.498393,2024-11-15 18:57:30.169883,0:00:39.671490,132
Ryu,2024-11-15 19:14:03.865981,2024-11-15 19:14:14.728628,0:00:10.862647,10
Ryu ,2024-11-15 19:27:50.601579,2024-11-15 19:28:03.333900,0:00:12.732321,20
d,2024-11-15 19:29:11.409347,2024-11-15 19:29:23.564127,0:00:12.154780,6
rayane,2024-11-15 19:33:47.528196,2024-11-15 19:33:53.300420,0:00:05.772224,0
ryu,2024-11-15 19:38:01.874428,2024-11-15 19:38:44.355482,0:00:42.481054,147
fl,2024-11-15 19:42:14.872611,2024-11-15 19:42:33.903239,0:00:19.030628,38
a,2024-11-15 19:45:51.794974,2024-11-15 19:46:26.108558,0:00:34.313584,-95
c,2024-11-15 19:50:41.895508,2024-11-15 19:50:51.437445,0:00:09.541937,0
jhgf,2024-11-15 19:51:37.372589,2024-11-15 19:51:53.177514,0:00:15.804925,35
oiuytreza,2024-11-15 19:53:24.172013,2024-11-15 19:53:33.066940,0:00:08.894927,-26
oiuytre,2024-11-15 19:54:27.542005,2024-11-15 19:54:36.747350,0:00:09.205345,-22
tyu,2024-11-15 19:59:13.657072,2024-11-15 19:59:23.073138,0:00:09.416066,0
kjhg,2024-11-15 20:00:15.695635,2024-11-15 20:00:24.566616,0:00:08.870981,0
jhgfd,2024-11-15 20:03:04.686163,2024-11-15 20:03:14.907117,0:00:10.220954,-10
dfghjkl,2024-11-15 20:05:28.602164,2024-11-15 20:05:37.842020,0:00:09.239856,0
"y(rj,ns",2024-11-15 20:09:07.234291,2024-11-15 20:09:16.701448,0:00:09.467157,0
eht,2024-11-15 20:13:14.033382,2024-11-15 20:13:24.511075,0:00:10.477693,-7
mlkjhgfds,2024-11-15 20:14:21.986597,2024-11-15 20:14:31.559500,0:00:09.572903,0
ebgzfv,2024-11-15 20:15:52.030973,2024-11-15 20:16:00.784768,0:00:08.753795,0
nhbg,2024-11-15 20:17:26.495990,2024-11-15 20:17:35.360986,0:00:08.864996,-2
kjhgfd,2024-11-15 20:18:13.877974,2024-11-15 20:18:22.398044,0:00:08.520070,0
hnj,2024-11-15 20:18:44.391989,2024-11-15 20:18:48.728449,0:00:04.336460,0
uhgfds,2024-11-15 20:19:12.888278,2024-11-15 20:19:17.571438,0:00:04.683160,0
ijuhgfd,2024-11-15 20:22:17.124627,2024-11-15 20:22:36.389790,0:00:19.265163,10
jhbgv,2024-11-15 20:24:15.797371,2024-11-15 20:24:21.375575,0:00:05.578204,0
hgfd,2024-11-15 20:28:41.698943,2024-11-15 20:28:45.837444,0:00:04.138501,0
fk,2024-11-15 20:31:16.538526,2024-11-15 20:31:36.568196,0:00:20.029670,35
jhgfd,2024-11-15 20:36:22.012380,2024-11-15 20:36:26.163820,0:00:04.151440,0
jhg,2024-11-15 20:43:55.121103,2024-11-15 20:43:59.491989,0:00:04.370886,0
fr,2024-11-15 20:48:00.774755,2024-11-15 20:48:15.230839,0:00:14.456084,-15
hgfd,2024-11-15 20:48:31.894632,2024-11-15 20:48:36.578884,0:00:04.684252,0
RYU,2024-11-15 21:59:22.926872,2024-11-15 21:59:59.049827,0:00:36.122955,92
RYU,2024-11-15 22:12:23.367344,2024-11-15 22:12:55.753757,0:00:32.386413,102
R,2024-11-15 22:13:15.909866,2024-11-15 22:13:29.886474,0:00:13.976608,0
h,2024-11-15 22:26:34.380832,2024-11-15 22:26:46.959876,0:00:12.579044,15
abcdefghijklmnop,2024-11-15 22:27:23.030263,2024-11-15 22:27:40.219308,0:00:17.189045,31
